text_id,caption,new_text_id,new_caption
Word-1000050041,"吞下委屈,才能喂大格局",1000050041,"吞下委屈,才能喂大格局"
Word-1000050124,"于是就出现了一个话题,就是娱乐圈的大叔们越来越胖,和香港男人形成",1000050124,香港男人 大叔们 娱乐圈 
Word-1000050258,ic小禾新款polo领撞色条纹宽松针织短袖t恤,1000050258,撞色条纹宽松针织短袖t恤 ic 新款polo 
Word-1000050272,奇葩说第五季颜如晶再度错失bbking 陈铭赢在哪里?,1000050272,晶 奇葩 陈铭 
Word-1000050310,竞争激烈国产第6款pd1即将获批来自誉衡药业药明生物,1000050310,誉衡药业药明生物 pd1 
Word-1000050330,济南市济阳县济阳镇的房子有房产证没有土地证 合法买卖吗,1000050330,合法买卖 济南市济阳县济阳镇 房产证 
Word-1000050404,时政要闻全县六大主攻方向工作调度会召开,1000050404,时政要闻 大主攻方向工作调度 
Word-1000050434,30万奖金等你来拿2021第四届中国西安国际文创产品创,1000050434,中国西安国际文创产品创 奖金 
Word-1000050499,无限qe后美又通过史上最大刺激方案,1000050499,大刺激方案 无限qe 史 
Word-1000050599,"最终我选择了一家离家近,双休,工资又相对高的公司.",1000050599,双休 工资 公司 
Word-1000050640,【测评】hg战国异端顽太无&武器背包,1000050640,测评 异端顽 武器背包 hg 
Word-1000050646,"针对于像是银行打款发生过失这样的事件,我们更需要抱持谨慎的态度",1000050646,银行打款 抱持 过失 
Word-1000050770,否则会影响发动机的正常工作以及使用寿命.,1000050770,正常工作 寿命 发动机 
Word-1000050808,4平米83万天旭逸城精装修,1000050808,4平米83万天旭逸城精装修
Word-1000050843,湖南2021下半年中小学教师资格考试报名通知,1000050843,小学教师资格考试报名通知 湖南 
Word-1000050844,生意社:库存高企叠加需求走弱 液氨加速下行_价格,1000050844,生意社 库存高企叠加需求 液氨 
Word-1000050847,"<人名>发现,总有姑娘读着书,读着读着人就不见了.",1000050847,姑娘 书 人 
Word-1000050893,2021新茶上市 西湖牌明前特级壹号西湖龙井茶叶200g纸,1000050893,特级壹号西湖龙井茶叶 新茶上市 g 
Word-1000050929,"工程项目开工,竣工签字审核审批意见标准表",1000050929,工程项目 签字审核审批意见标准表 
Word-1000051012,全4册 趣说中国史 一看就停不下来的中国史123 趣哥爱,1000051012,全4册 中国史 趣哥 
Word-1000051054,阳夫人 高档自动雨伞三折雨伞折叠男女商务伞晴雨伞太阳伞 自动uv,1000051054,雨伞太阳伞 阳夫人 男女商务伞 
Word-1000051102,"朋友圈已经吹爆的美食圣地,必吃美食就是它",1000051102,美食圣地 朋友圈 
Word-1000051123,"看到弟子没有被选上,郭艺教练既是不解,又是心有不甘.",1000051123,郭艺教练 弟子 心 
Word-1000051165,声雨竹女装正品2014秋装新款水云间风衣外套洛诗琳名人瑞裳旗舰店,1000051165,诗琳名人瑞裳旗舰店 声雨竹女装 新款水云间风衣外套 
Word-1000051202,"好久没这么过瘾了,今天一个下午的渔获.",1000051202,渔获 
Word-1000051242,塞尔维亚女排大名单出炉最佳副攻入选中国女排要小心一位新星,1000051242,塞尔维亚女排大名单 中国女排 新星 
Word-1000051259,江苏省司法厅 头条醒目 刘旸副省长视察南京律师远程,1000051259,江苏省司法厅 南京律师 刘旸副省长 
Word-1000051295,⑧切勿私自滥用医嘱外的药物!切勿私自滥用医嘱外的药物!,1000051295,医嘱 药物 
Word-1000051313,福斯《x战警:黑凤凰》《托尔金》亮相wondercon漫展,1000051313,x战警:黑凤凰 托尔金 亮相wondercon漫展 黑凤凰 x战警 
Word-1000051355,"这场活动让孩子赏画诵诗,寓教于乐!",1000051355,诗 孩子 活动 
Word-1000051375,秘传入坟断二十四山廖公断,1000051375,秘传入坟断二十四山廖公断
Word-1000051403,新型材料公司突发环境事件风险评估报告(图文).doc 51页,1000051403,doc 新型材料公司突发环境事件风险评估报告 
Word-1000051482,芯片餐具生产厂家芯片碗,1000051482,芯片餐具生产厂家芯片碗
Word-1000051501,官方正版 羽毛球教学与训练 羽毛球运动教学与训练教程<人名> 高等,1000051501,官方正版 羽毛球运动教学与训练教程 
Word-1000051543,说好不哭!浦发银行魔j系列信用卡新添一员!,1000051543,浦发银行魔j 信用卡 
Word-1000051584,"中国单身人数超过了两亿,如果继续这样发展,会发生什么事情?",1000051584,中国单身人数 事情 发展 
Word-1000051632,[二手9成新]天津市建筑设计院建筑作品集 /刘景樑 编,1000051632,天津市建筑设计院建筑作品集 刘景樑 
Word-1000051694,天津塘沽大爆炸起源揭秘:到底是什么发生了爆炸,1000051694,天津塘沽大爆炸起源 
Word-1000051720,"牛是一种亲切而温和的动物,忠厚老实,深得人类信赖.",1000051720,人类 动物 牛 
Word-1000051750,"适合全职宝妈做的副业,努力做上三个月,就会得到回报!",1000051750,全职宝妈 副业 回报 
Word-1000051823,简约款牛皮革手拿多功能零钱包,1000051823,简约款牛皮革手拿多功能零钱包
Word-1000051873,"难得的是小小年纪的舒畅没有因为演出天山童姥的成功而飘飘然,成熟的",1000051873,天山童姥 小小年纪 
Word-1000051889,有谁有小提琴梁祝和化蝶的谱子?,1000051889,小提琴梁祝 谱子 化蝶 
Word-1000051980,这前后矛盾到让吃瓜群众无力吐槽!,1000051980,瓜群众 矛盾 
Word-1000051987,"要点:其实越是高级的搭配,越是比较注重基础款和基础色,可以说这种",1000051987,基础款 基础色 搭配 
Word-1000052152,"造物节·宅市猛料爆一波,精彩提前到",1000052152,造物节 猛料 波 
Word-1000052215,2-1.5米之间半价优惠;60-69岁老人凭有效证件半价优惠.,1000052215,有效证件半价优惠 老人 
Word-1000052265,"林煐岷的眼睛真漂亮,这叫含情目吗",1000052265,煐岷 情目 眼睛 
Word-1000052293,处于高成长阶段的房地产上市公司容易获得资本市场的较高估值.,1000052293,高估值 资本市场 高成长阶段 
Word-1000052315,"海参   是一种滋补强壮剂,从海参中提取的刺参粘多糖对多种 癌症",1000052315,多糖 海参 癌症 
Word-1000052326,<人名>我可不止有恬淡而已,1000052326,<人名>我可不止有恬淡而已
Word-1000052390,"红旗首款纯电动超级跑车来了,全球首发!",1000052390,纯电动超级跑车 红旗 全球 
Word-1000052458,"但她对人类生存状况的思考也同样重要而影响深远,甚至一定程度上为",1000052458,一定程度 人类生存状况 思考 
Word-1000052506,[正版保障]铌微合金化高性能结构钢中信微合金化技术中心译,1000052506,铌微合金化高性能结构钢中信微合金化技术中心 
Word-1000052655,"小学生作文《第一次奋进》走红,全文近800字,网友:用心",1000052655,第一次奋进 小学生作文 走红 全文 
Word-1000052676,《娘讨来的三袋米》ppt,1000052676,《娘讨来的三袋米》ppt
Word-1000052710,峨眉山上滑竿人!,1000052710,峨眉山上滑竿人!
Word-1000052728,"有业内人士认为,家电企业进入医疗器械等行业可以让企业实现多元化",1000052728,家电企业 医疗器械 多元化 
Word-1000052765,"《天圣帖》凡十七行,每行字数不一,共一百五十一字.",1000052765,天圣帖 凡十七行 字数 字 
Word-1000052843,"紫玉髓狐狸可调式(红绳,黑绳)项鍊(爱情 正偏财 贵人运)",1000052843,紫玉髓狐狸 调式 鍊 
Word-1000052915,"今日处暑丨历尽三伏热,天凉好个秋",1000052915,处暑 
Word-1000052941,供应 高端酒店用品 一次性洗发液沐浴液 品牌洗发液套装产品,1000052941,液沐浴液 品牌洗发液套装产品 高端酒店用品 
Word-1000052969,影视传媒行业宣传海报-《首届中国(杭州)微电影展》宣传海报设计,1000052969,首届中国(杭州)微电影展 海报设计 影视传媒行业宣传海报 中国微电影展 
Word-1000052973,【小样游梅州】梅县(二)(有奖竞答),1000052973,小样游梅州 梅州 小样 
Word-1000053116,望天洞景区-景点图片-桓仁满族自治县周边游-大众点评,1000053116,桓仁满族自治县周边 景点图片 洞景区 
Word-1000053230,鹿晗饰演的大学生江洋追随舒淇饰演的女指挥官林澜,1000053230,大学生江洋 女指挥官林澜 鹿晗 
Word-1000053246,"①月球灯专利分析今天,就一起来看看亚马逊上的爆款灯有哪些专利侵权",1000053246,月球灯专利分析 爆款灯 专利侵权 
Word-1000053252,"铁皮石斛花开季,宁心安神,满是润养!",1000053252,铁皮石斛花 季 
